label,team_school_ncaa,team_seed,opp_school_ncaa,opp_seed
,Houston,3,Tennessee,2
,Houston,3,Michigan,2
,Houston,3,LSU,3
,Houston,3,Purdue,3
,Houston,3,Texas Tech,3
,Houston,3,Virginia Tech,4
,Houston,3,Kansas,4
,Houston,3,Florida St.,4
,Houston,3,Kansas St.,4
,Houston,3,Auburn,5
,Houston,3,Wisconsin,5
,Houston,3,Mississippi St.,5
,Houston,3,Marquette,5
,Houston,3,Iowa St.,6
,Houston,3,Buffalo,6
,Houston,3,Villanova,6
,Houston,3,Maryland,6
,Houston,3,Wofford,7
,Houston,3,Nevada,7
,Houston,3,Cincinnati,7
,Houston,3,Louisville,7
,Houston,3,Ole Miss,8
,Houston,3,Syracuse,8
,Houston,3,Utah St.,8
,Houston,3,VCU,8
,Houston,3,Baylor,9
,Houston,3,Oklahoma,9
,Houston,3,UCF,9
,Houston,3,Washington,9
,Houston,3,Iowa,10
,Houston,3,Seton Hall,10
,Houston,3,Minnesota,10
,Houston,3,Florida,10
,Houston,3,Arizona St.,11
,Houston,3,St. John's (NY),11
,Houston,3,Ohio St.,11
,Houston,3,Belmont,11
,Houston,3,Saint Mary's (CA),11
,Houston,3,Temple,11
,Houston,3,Oregon,12
,Houston,3,Murray St.,12
,Houston,3,New Mexico St.,12
,Houston,3,Liberty,12
,Houston,3,Saint Louis,13
,Houston,3,UC Irvine,13
,Houston,3,Vermont,13
,Houston,3,Northeastern,13
,Houston,3,Northern Ky.,14
,Houston,3,Georgia St.,14
,Houston,3,Yale,14
,Houston,3,Old Dominion,14
,Houston,3,Abilene Christian,15
,Houston,3,Colgate,15
,Houston,3,Bradley,15
,Houston,3,Montana,15
,Houston,3,Fairleigh Dickinson,16
,Houston,3,N.C. Central,16
,Houston,3,Gardner-Webb,16
,Houston,3,Prairie View,16
,Houston,3,North Dakota St.,16
,Houston,3,Iona,16
,LSU,3,North Carolina,1
,LSU,3,Gonzaga,1
,LSU,3,Duke,1
,LSU,3,Virginia,1
,LSU,3,Kentucky,2
,LSU,3,Michigan St.,2
,LSU,3,Tennessee,2
,LSU,3,Michigan,2
,LSU,3,Houston,3
,LSU,3,Purdue,3
,LSU,3,Texas Tech,3
,LSU,3,Virginia Tech,4
,LSU,3,Kansas,4
,LSU,3,Florida St.,4
,LSU,3,Kansas St.,4
,LSU,3,Auburn,5
,LSU,3,Wisconsin,5
,LSU,3,Mississippi St.,5
,LSU,3,Marquette,5
